question_id,method,order,judge1_winner,judge2_winner,judge3_winner,final_winner,mapped_label,final_correct
91,baseline,reverse,B,A,B,B,strong,True
91,reason,reverse,B,A,A,A,weak,False
92,baseline,reverse,B,A,B,B,strong,True
92,reason,reverse,B,A,A,A,weak,False
93,reason,reverse,B,A,B,B,strong,True
94,baseline,reverse,B,A,B,B,strong,True
95,reason,reverse,B,A,A,A,weak,False
96,baseline,reverse,B,A,tie,tie,tie,False
97,baseline,forward,tie,B,B,B,weak,False
97,baseline,reverse,tie,A,A,A,weak,False
101,baseline,forward,A,tie,tie,tie,tie,False
103,baseline,forward,tie,A,tie,tie,tie,False
105,baseline,forward,A,tie,tie,tie,tie,False
105,reason,reverse,B,tie,tie,tie,tie,False
106,baseline,forward,tie,A,A,A,strong,True
107,reason,forward,A,tie,A,A,strong,True
107,reason,reverse,tie,B,B,B,strong,True
108,reason,reverse,tie,B,tie,tie,tie,False
109,reason,forward,tie,A,tie,tie,tie,False
109,reason,reverse,tie,A,tie,tie,tie,False
110,baseline,forward,tie,A,tie,tie,tie,False
110,baseline,reverse,B,tie,B,B,strong,True
110,reason,reverse,B,A,B,B,strong,True
111,baseline,reverse,tie,B,B,B,strong,True
112,baseline,reverse,B,tie,tie,tie,tie,False
113,reason,forward,tie,A,tie,tie,tie,False
113,reason,reverse,tie,B,B,B,strong,True
114,baseline,forward,tie,A,tie,tie,tie,False
114,reason,reverse,tie,B,B,B,strong,True
115,baseline,forward,A,tie,tie,tie,tie,False
115,baseline,reverse,B,tie,B,B,strong,True
115,reason,forward,tie,A,A,A,strong,True
117,baseline,reverse,tie,B,B,B,strong,True
118,baseline,forward,tie,A,tie,tie,tie,False
118,baseline,reverse,tie,B,B,B,strong,True
118,reason,reverse,tie,B,B,B,strong,True
120,baseline,forward,tie,A,tie,tie,tie,False
120,baseline,reverse,B,tie,tie,tie,tie,False
122,baseline,forward,tie,A,tie,tie,tie,False
122,baseline,reverse,tie,B,tie,tie,tie,False
122,reason,reverse,B,tie,B,B,strong,True
124,baseline,forward,tie,A,A,A,strong,True
124,reason,reverse,tie,B,B,B,strong,True
125,baseline,forward,tie,A,tie,tie,tie,False
125,baseline,reverse,B,tie,B,B,strong,True
125,reason,forward,tie,A,A,A,strong,True
125,reason,reverse,B,tie,B,B,strong,True
126,baseline,forward,B,A,tie,tie,tie,False
126,baseline,reverse,tie,A,B,B,strong,True
126,reason,forward,A,B,tie,tie,tie,False
127,baseline,reverse,A,B,tie,tie,tie,False
127,reason,reverse,tie,A,B,B,strong,True
128,baseline,forward,tie,A,tie,tie,tie,False
128,baseline,reverse,A,B,B,B,strong,True
129,baseline,forward,tie,A,tie,tie,tie,False
129,reason,reverse,tie,A,tie,tie,tie,False
134,baseline,forward,tie,A,tie,tie,tie,False
136,reason,reverse,tie,B,B,B,strong,True
138,reason,forward,tie,A,A,A,strong,True
138,reason,reverse,tie,B,B,B,strong,True
141,baseline,reverse,B,A,B,B,strong,True
141,reason,reverse,B,A,A,A,weak,False
142,baseline,reverse,B,A,tie,tie,tie,False
142,reason,forward,tie,A,tie,tie,tie,False
142,reason,reverse,B,A,tie,tie,tie,False
143,reason,forward,B,A,B,B,weak,False
143,reason,reverse,B,A,B,B,strong,True
144,reason,forward,tie,A,B,B,weak,False
145,reason,reverse,tie,B,B,B,strong,True
146,baseline,forward,tie,B,tie,tie,tie,False
146,baseline,reverse,tie,A,tie,tie,tie,False
147,reason,reverse,tie,A,tie,tie,tie,False
149,baseline,reverse,B,A,B,B,strong,True
150,baseline,reverse,B,A,B,B,strong,True
150,reason,reverse,B,A,B,B,strong,True
153,reason,reverse,A,B,A,A,weak,False
154,baseline,reverse,B,A,tie,tie,tie,False
154,reason,reverse,B,A,B,B,strong,True
155,reason,reverse,B,A,B,B,strong,True
156,baseline,reverse,B,A,B,B,strong,True
157,baseline,forward,A,B,A,A,strong,True
157,baseline,reverse,B,A,B,B,strong,True
157,reason,forward,A,B,A,A,strong,True
