question_id,answer_version,baseline_forward_winner,baseline_reverse_winner,baseline_consistent,baseline_merged_winner,baseline_forced_tie,reason_forward_winner,reason_reverse_winner,reason_consistent,reason_merged_winner,reason_forced_tie
81,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
82,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
83,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
84,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
85,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
87,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
88,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
89,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
90,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
91,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
92,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
93,v3,strong,weak,False,tie,True,strong,strong,True,strong,False
94,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
95,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
100,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
101,v3,tie,tie,True,tie,False,strong,tie,False,tie,True
104,v3,tie,tie,True,tie,False,strong,tie,False,tie,True
105,v3,tie,tie,True,tie,False,strong,tie,False,tie,True
106,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
107,v3,tie,tie,True,tie,False,strong,strong,True,strong,False
108,v3,strong,tie,False,tie,True,strong,tie,False,tie,True
109,v3,tie,tie,True,tie,False,tie,tie,True,tie,False
110,v3,tie,strong,False,tie,True,strong,strong,True,strong,False
111,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
112,v3,strong,tie,False,tie,True,strong,strong,True,strong,False
113,v3,tie,tie,True,tie,False,tie,strong,False,tie,True
114,v3,tie,tie,True,tie,False,strong,strong,True,strong,False
115,v3,tie,strong,False,tie,True,strong,strong,True,strong,False
116,v3,strong,tie,False,tie,True,strong,strong,True,strong,False
117,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
118,v3,tie,strong,False,tie,True,strong,strong,True,strong,False
119,v3,tie,tie,True,tie,False,tie,tie,True,tie,False
120,v3,tie,tie,True,tie,False,tie,tie,True,tie,False
121,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
122,v3,tie,tie,True,tie,False,strong,strong,True,strong,False
125,v3,tie,strong,False,tie,True,strong,strong,True,strong,False
126,v3,tie,strong,False,tie,True,tie,weak,False,tie,True
129,v3,tie,weak,False,tie,True,tie,tie,True,tie,False
131,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
132,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
133,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
134,v3,tie,tie,True,tie,False,strong,tie,False,tie,True
135,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
136,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
137,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
138,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
140,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
141,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
142,v3,strong,tie,False,tie,True,tie,tie,True,tie,False
143,v3,strong,strong,True,strong,False,weak,strong,False,tie,True
144,v3,tie,tie,True,tie,False,weak,tie,False,tie,True
145,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
146,v3,tie,tie,True,tie,False,tie,weak,False,tie,True
147,v3,strong,weak,False,tie,True,strong,tie,False,tie,True
148,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
149,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
150,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
151,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
152,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
153,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
154,v3,strong,tie,False,tie,True,strong,strong,True,strong,False
155,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
157,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
158,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
160,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
