question_id,answer_version,baseline_forward_winner,baseline_reverse_winner,baseline_consistent,baseline_merged_winner,baseline_forced_tie,reason_forward_winner,reason_reverse_winner,reason_consistent,reason_merged_winner,reason_forced_tie
81,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
83,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
84,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
85,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
86,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
88,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
90,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
91,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
92,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
93,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
94,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
95,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
97,v3,weak,weak,True,weak,False,weak,weak,True,weak,False
98,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
99,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
100,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
101,v3,tie,tie,True,tie,False,strong,tie,False,tie,True
102,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
103,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
104,v3,tie,tie,True,tie,False,strong,strong,True,strong,False
105,v3,strong,tie,False,tie,True,tie,tie,True,tie,False
106,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
108,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
110,v3,strong,tie,False,tie,True,strong,weak,False,tie,True
111,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
112,v3,strong,strong,True,strong,False,strong,tie,False,tie,True
114,v3,strong,tie,False,tie,True,strong,strong,True,strong,False
115,v3,tie,tie,True,tie,False,strong,strong,True,strong,False
116,v3,strong,tie,False,tie,True,strong,tie,False,tie,True
117,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
119,v3,tie,tie,True,tie,False,tie,tie,True,tie,False
120,v3,strong,tie,False,tie,True,tie,tie,True,tie,False
121,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
122,v3,strong,strong,True,strong,False,strong,tie,False,tie,True
124,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
125,v3,strong,strong,True,strong,False,strong,tie,False,tie,True
127,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
128,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
129,v3,strong,weak,False,tie,True,tie,weak,False,tie,True
130,v3,strong,tie,False,tie,True,strong,weak,False,tie,True
131,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
133,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
134,v3,strong,tie,False,tie,True,strong,strong,True,strong,False
135,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
136,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
138,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
140,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
141,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
142,v3,strong,weak,False,tie,True,strong,tie,False,tie,True
143,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
144,v3,tie,tie,True,tie,False,strong,tie,False,tie,True
145,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
146,v3,weak,weak,True,weak,False,tie,weak,False,tie,True
148,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
151,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
152,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
153,v3,strong,weak,False,tie,True,strong,strong,True,strong,False
154,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
155,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
156,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
157,v3,weak,weak,True,weak,False,weak,strong,False,tie,True
158,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
