question_id,answer_version,baseline_forward_winner,baseline_reverse_winner,baseline_consistent,baseline_merged_winner,baseline_forced_tie,reason_forward_winner,reason_reverse_winner,reason_consistent,reason_merged_winner,reason_forced_tie
81,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
82,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
83,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
84,v5,tie,strong,False,tie,True,strong,strong,True,strong,False
85,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
86,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
87,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
88,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
89,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
90,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
91,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
92,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
93,v5,strong,weak,False,tie,True,strong,strong,True,strong,False
94,v5,weak,strong,False,tie,True,strong,strong,True,strong,False
95,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
96,v5,strong,tie,False,tie,True,strong,strong,True,strong,False
97,v5,strong,strong,True,strong,False,tie,strong,False,tie,True
98,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
99,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
100,v5,strong,strong,True,strong,False,weak,strong,False,tie,True
101,v5,tie,tie,True,tie,False,strong,strong,True,strong,False
102,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
103,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
104,v5,tie,strong,False,tie,True,tie,strong,False,tie,True
105,v5,strong,strong,True,strong,False,tie,strong,False,tie,True
106,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
107,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
108,v5,strong,tie,False,tie,True,strong,strong,True,strong,False
109,v5,tie,strong,False,tie,True,tie,tie,True,tie,False
110,v5,tie,strong,False,tie,True,tie,strong,False,tie,True
111,v5,tie,strong,False,tie,True,strong,strong,True,strong,False
112,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
113,v5,tie,strong,False,tie,True,strong,strong,True,strong,False
114,v5,strong,strong,True,strong,False,tie,strong,False,tie,True
115,v5,tie,strong,False,tie,True,tie,tie,True,tie,False
116,v5,tie,tie,True,tie,False,strong,strong,True,strong,False
117,v5,tie,tie,True,tie,False,tie,tie,True,tie,False
118,v5,strong,strong,True,strong,False,strong,tie,False,tie,True
119,v5,strong,tie,False,tie,True,strong,strong,True,strong,False
120,v5,tie,tie,True,tie,False,tie,strong,False,tie,True
121,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
122,v5,strong,tie,False,tie,True,weak,tie,False,tie,True
123,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
124,v5,tie,strong,False,tie,True,tie,strong,False,tie,True
125,v5,strong,strong,True,strong,False,tie,strong,False,tie,True
126,v5,tie,tie,True,tie,False,strong,tie,False,tie,True
127,v5,tie,tie,True,tie,False,tie,tie,True,tie,False
128,v5,tie,strong,False,tie,True,tie,strong,False,tie,True
129,v5,strong,tie,False,tie,True,strong,strong,True,strong,False
130,v5,tie,tie,True,tie,False,strong,tie,False,tie,True
131,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
132,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
133,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
134,v5,tie,strong,False,tie,True,strong,tie,False,tie,True
135,v5,strong,tie,False,tie,True,strong,strong,True,strong,False
136,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
137,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
138,v5,strong,tie,False,tie,True,strong,strong,True,strong,False
139,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
140,v5,strong,strong,True,strong,False,strong,tie,False,tie,True
141,v5,tie,strong,False,tie,True,tie,strong,False,tie,True
142,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
143,v5,tie,tie,True,tie,False,tie,strong,False,tie,True
144,v5,strong,strong,True,strong,False,strong,tie,False,tie,True
145,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
146,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
147,v5,strong,strong,True,strong,False,tie,strong,False,tie,True
148,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
149,v5,strong,strong,True,strong,False,tie,strong,False,tie,True
150,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
151,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
152,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
153,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
154,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
155,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
156,v5,tie,strong,False,tie,True,strong,strong,True,strong,False
157,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
158,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
159,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
160,v5,strong,strong,True,strong,False,strong,strong,True,strong,False
