question_id,turn,category,original_chars,expanded_chars,ratio,length_ok,numbers_ok,attempts
81,1,writing,553,1431,2.59,True,True,1
81,2,writing,574,1357,2.36,True,True,1
82,1,writing,337,841,2.50,True,True,1
82,2,writing,412,1253,3.04,True,True,1
83,1,writing,551,1774,3.22,True,True,1
83,2,writing,135,280,2.07,True,True,1
84,1,writing,405,1667,4.12,True,True,1
84,2,writing,361,954,2.64,True,True,1
85,1,writing,407,930,2.29,True,True,1
85,2,writing,395,977,2.47,True,True,1
86,1,writing,392,1020,2.60,True,True,1
86,2,writing,440,1241,2.82,True,True,1
87,1,writing,743,1859,2.50,True,True,1
87,2,writing,304,808,2.66,True,True,1
88,1,writing,265,676,2.55,True,True,1
88,2,writing,187,530,2.83,True,True,1
89,1,writing,238,750,3.15,True,True,2
89,2,writing,55,155,2.82,True,True,1
90,1,writing,253,538,2.13,True,True,1
90,2,writing,282,731,2.59,True,True,1
91,1,roleplay,371,1136,3.06,True,True,1
91,2,roleplay,360,1029,2.86,True,True,1
92,1,roleplay,353,921,2.61,True,True,1
92,2,roleplay,356,1321,3.71,True,True,1
93,1,roleplay,600,1532,2.55,True,True,1
93,2,roleplay,640,5387,8.42,True,False,4
94,1,roleplay,413,1157,2.80,True,True,1
94,2,roleplay,517,1377,2.66,True,True,1
95,1,roleplay,55,115,2.09,True,True,1
95,2,roleplay,40,90,2.25,True,True,1
96,1,roleplay,423,1107,2.62,True,True,1
96,2,roleplay,440,1214,2.76,True,True,1
97,1,roleplay,440,1264,2.87,True,True,1
97,2,roleplay,516,1450,2.81,True,True,1
98,1,roleplay,334,863,2.58,True,True,1
98,2,roleplay,208,507,2.44,True,True,1
99,1,roleplay,185,510,2.76,True,True,1
99,2,roleplay,178,508,2.85,True,True,1
100,1,roleplay,302,608,2.01,True,True,1
100,2,roleplay,574,1520,2.65,True,True,1
101,1,reasoning,161,373,2.32,True,True,1
101,2,reasoning,224,576,2.57,True,True,1
102,1,reasoning,151,364,2.41,True,True,1
102,2,reasoning,201,542,2.70,True,True,1
103,1,reasoning,196,842,4.30,True,True,1
103,2,reasoning,329,868,2.64,True,True,1
104,1,reasoning,163,525,3.22,True,True,1
104,2,reasoning,138,391,2.83,True,True,1
105,1,reasoning,219,724,3.31,True,True,1
105,2,reasoning,63,161,2.56,True,True,1
106,1,reasoning,197,515,2.61,True,True,1
106,2,reasoning,102,290,2.84,True,True,1
107,1,reasoning,113,301,2.66,True,True,1
107,2,reasoning,262,693,2.65,True,True,1
108,1,reasoning,115,332,2.89,True,True,1
108,2,reasoning,99,259,2.62,True,True,1
109,1,reasoning,207,572,2.76,True,True,1
109,2,reasoning,184,408,2.22,True,True,1
110,1,reasoning,275,765,2.78,True,True,1
110,2,reasoning,504,1608,3.19,True,True,1
111,1,math,146,406,2.78,True,True,1
111,2,math,158,508,3.22,True,True,1
112,1,math,64,172,2.69,True,True,1
112,2,math,99,199,2.01,True,True,1
113,1,math,111,296,2.67,True,True,1
113,2,math,40,128,3.20,True,True,1
114,1,math,130,661,5.08,True,True,1
114,2,math,93,196,2.11,True,True,1
115,1,math,145,551,3.80,True,True,2
115,2,math,162,558,3.44,True,True,1
116,1,math,34,87,2.56,True,True,1
116,2,math,71,176,2.48,True,True,1
117,1,math,55,210,3.82,True,True,2
117,2,math,81,210,2.59,True,True,1
118,1,math,72,203,2.82,True,True,1
118,2,math,60,126,2.10,True,True,1
119,1,math,106,277,2.61,True,True,1
119,2,math,35,175,5.00,True,True,1
120,1,math,35,247,7.06,True,True,1
120,2,math,109,282,2.59,True,True,1
121,1,coding,666,2843,4.27,True,True,1
121,2,coding,720,2817,3.91,True,True,1
122,1,coding,406,1192,2.94,True,True,1
122,2,coding,370,1668,4.51,True,True,1
123,1,coding,602,2209,3.67,True,True,1
123,2,coding,177,453,2.56,True,True,1
124,1,coding,266,619,2.33,True,True,1
124,2,coding,238,728,3.06,True,True,1
125,1,coding,479,1779,3.71,True,True,1
125,2,coding,484,1531,3.16,True,True,1
126,1,coding,428,1205,2.82,True,True,1
126,2,coding,685,4394,6.41,True,True,1
127,1,coding,264,1412,5.35,True,True,1
127,2,coding,377,1650,4.38,True,True,1
128,1,coding,336,1271,3.78,True,True,1
128,2,coding,450,1573,3.50,True,True,1
129,1,coding,261,1267,4.85,True,True,1
129,2,coding,451,1726,3.83,True,True,1
130,1,coding,403,2287,5.67,True,True,1
130,2,coding,419,1525,3.64,True,True,1
131,1,extraction,15,42,2.80,True,True,1
131,2,extraction,123,319,2.59,True,True,1
132,1,extraction,38,120,3.16,True,True,1
132,2,extraction,115,346,3.01,True,True,1
133,1,extraction,253,601,2.38,True,True,1
133,2,extraction,288,772,2.68,True,True,1
134,1,extraction,95,233,2.45,True,True,1
134,2,extraction,136,344,2.53,True,True,1
135,1,extraction,206,813,3.95,True,True,1
135,2,extraction,176,393,2.23,True,True,1
136,1,extraction,33,88,2.67,True,True,1
136,2,extraction,28,76,2.71,True,True,1
137,1,extraction,157,582,3.71,True,True,1
137,2,extraction,84,214,2.55,True,True,1
138,1,extraction,62,172,2.77,True,True,1
138,2,extraction,62,164,2.65,True,True,1
139,1,extraction,129,324,2.51,True,True,1
139,2,extraction,202,668,3.31,True,True,2
140,1,extraction,106,367,3.46,True,True,1
140,2,extraction,186,568,3.05,True,True,2
141,1,stem,431,2083,4.83,True,True,1
141,2,stem,522,1496,2.87,True,True,1
142,1,stem,426,1534,3.60,True,True,1
142,2,stem,581,1868,3.22,True,True,1
143,1,stem,459,1977,4.31,True,False,3
143,2,stem,700,2714,3.88,True,True,3
144,1,stem,467,1347,2.88,True,True,1
144,2,stem,317,756,2.38,True,True,1
145,1,stem,423,2110,4.99,True,False,2
145,2,stem,332,862,2.60,True,True,1
146,1,stem,398,1351,3.39,True,True,1
146,2,stem,445,1103,2.48,True,True,1
147,1,stem,764,2461,3.22,True,True,1
147,2,stem,745,4132,5.55,True,True,1
148,1,stem,582,1521,2.61,True,True,1
