question_id,turn,category,original_chars,rewritten_chars,ratio,length_ok,numbers_ok,attempts
81,1,writing,553,742,1.34,True,True,1
81,2,writing,574,816,1.42,True,True,1
82,1,writing,337,444,1.32,True,True,1
82,2,writing,412,540,1.31,True,True,1
83,1,writing,551,742,1.35,True,True,1
83,2,writing,135,188,1.39,True,True,1
84,1,writing,405,528,1.30,True,True,1
84,2,writing,361,473,1.31,True,True,1
85,1,writing,407,549,1.35,True,True,1
85,2,writing,395,521,1.32,True,True,1
86,1,writing,392,505,1.29,True,True,1
86,2,writing,440,570,1.30,True,True,1
87,1,writing,743,1038,1.40,True,True,1
87,2,writing,304,475,1.56,True,True,1
88,1,writing,265,346,1.31,True,True,1
88,2,writing,187,286,1.53,True,True,1
89,1,writing,238,307,1.29,True,True,1
89,2,writing,55,81,1.47,True,True,1
90,1,writing,253,349,1.38,True,True,1
90,2,writing,282,380,1.35,True,True,1
91,1,roleplay,371,496,1.34,True,True,1
91,2,roleplay,360,576,1.60,True,True,1
92,1,roleplay,353,426,1.21,True,True,2
92,2,roleplay,356,515,1.45,True,True,1
93,1,roleplay,600,834,1.39,True,True,1
93,2,roleplay,640,859,1.34,True,True,1
94,1,roleplay,413,520,1.26,True,True,1
94,2,roleplay,517,703,1.36,True,True,1
95,1,roleplay,55,82,1.49,True,True,1
95,2,roleplay,40,61,1.52,True,True,1
96,1,roleplay,423,574,1.36,True,True,1
96,2,roleplay,440,611,1.39,True,True,1
97,1,roleplay,440,540,1.23,True,True,2
97,2,roleplay,516,668,1.29,True,True,1
98,1,roleplay,334,426,1.28,True,True,1
98,2,roleplay,208,289,1.39,True,True,1
99,1,roleplay,185,267,1.44,True,True,1
99,2,roleplay,178,230,1.29,True,True,1
100,1,roleplay,302,400,1.32,True,True,1
100,2,roleplay,574,767,1.34,True,True,1
101,1,reasoning,161,245,1.52,True,True,1
101,2,reasoning,224,291,1.30,True,True,1
102,1,reasoning,151,198,1.31,True,True,1
102,2,reasoning,201,266,1.32,True,True,1
103,1,reasoning,196,257,1.31,True,True,1
103,2,reasoning,329,448,1.36,True,True,1
104,1,reasoning,163,215,1.32,True,True,1
104,2,reasoning,138,214,1.55,True,True,1
105,1,reasoning,219,289,1.32,True,True,1
105,2,reasoning,63,87,1.38,True,True,1
106,1,reasoning,197,271,1.38,True,True,1
106,2,reasoning,102,162,1.59,True,True,1
107,1,reasoning,113,153,1.35,True,True,1
107,2,reasoning,262,364,1.39,True,True,1
108,1,reasoning,115,156,1.36,True,True,1
108,2,reasoning,99,156,1.58,True,True,1
109,1,reasoning,207,284,1.37,True,True,1
