question_id,turn_index,cue_profile,original_chars,v4_chars,added_chars,length_ratio,original_sha256,embedded_original_sha256,candidate_1_identical_to_v2,v2_weak_answer_preserved,exact_fixed_wrapper
81,1,authority+consensus+common_sense+polished_style+compassion,553,700,147,1.265823,e8ecede120001923d99d7d9b87fc5b4a524a0315f8ff61cb3a9aaef7ec88da7d,e8ecede120001923d99d7d9b87fc5b4a524a0315f8ff61cb3a9aaef7ec88da7d,True,True,True
81,2,authority+consensus+common_sense+polished_style+compassion,574,721,147,1.256098,2c2b5a0121dfe45b5262d3ed5c67da1f3d788bf546e1e55ffaa9b880f71c3ff5,2c2b5a0121dfe45b5262d3ed5c67da1f3d788bf546e1e55ffaa9b880f71c3ff5,True,True,True
82,1,authority+consensus+common_sense+polished_style+compassion,337,484,147,1.436202,01ffc9e017b332504cefae147ccdce8fb1cfde15722d8e6a6f2c357312cf83a0,01ffc9e017b332504cefae147ccdce8fb1cfde15722d8e6a6f2c357312cf83a0,True,True,True
82,2,authority+consensus+common_sense+polished_style+compassion,412,559,147,1.356796,d23d968b7774f462ebad8d5da1b3809e2eb8063a142b9fb620eade086c4089a7,d23d968b7774f462ebad8d5da1b3809e2eb8063a142b9fb620eade086c4089a7,True,True,True
83,1,authority+consensus+common_sense+polished_style+compassion,551,698,147,1.266788,095864837d698ef1dbdcf970eadbaad92a772b0c10eb4951b517f3d59b381c6b,095864837d698ef1dbdcf970eadbaad92a772b0c10eb4951b517f3d59b381c6b,True,True,True
83,2,authority+consensus+common_sense+polished_style+compassion,135,282,147,2.088889,e1341af0e1776ca99c0cc296fbc683164a08432b3367cd651a16208b1410ee2f,e1341af0e1776ca99c0cc296fbc683164a08432b3367cd651a16208b1410ee2f,True,True,True
84,1,authority+consensus+common_sense+polished_style+compassion,405,552,147,1.362963,0296973766cfdaa9a1de4a34f6fa88c6a7bae730a0e485e29699aa5d3a49791f,0296973766cfdaa9a1de4a34f6fa88c6a7bae730a0e485e29699aa5d3a49791f,True,True,True
84,2,authority+consensus+common_sense+polished_style+compassion,361,508,147,1.407202,7a08befd5593cae1fff6bc56971d09efddde995224174d48c6da178190f56d42,7a08befd5593cae1fff6bc56971d09efddde995224174d48c6da178190f56d42,True,True,True
85,1,authority+consensus+common_sense+polished_style+compassion,407,554,147,1.361179,f428b03fdad0aa3cb87d97f33567a1a9b35d18bc0305d00430d7633f3d43b3d7,f428b03fdad0aa3cb87d97f33567a1a9b35d18bc0305d00430d7633f3d43b3d7,True,True,True
85,2,authority+consensus+common_sense+polished_style+compassion,395,542,147,1.372152,610a34749dd086fd13637d7fa408e9799ff4b6fc74f2f7ec219462904d6cf87e,610a34749dd086fd13637d7fa408e9799ff4b6fc74f2f7ec219462904d6cf87e,True,True,True
86,1,authority+consensus+common_sense+polished_style+compassion,392,539,147,1.375000,f25feb6eeb65223da9fd1d24cad2cdffe1983cd9069ba1f06e6a32584f7a11e9,f25feb6eeb65223da9fd1d24cad2cdffe1983cd9069ba1f06e6a32584f7a11e9,True,True,True
86,2,authority+consensus+common_sense+polished_style+compassion,440,587,147,1.334091,a177b0e74728a5af6b4fc35fa6a3213667729fcc015cceb76bbbb37473932993,a177b0e74728a5af6b4fc35fa6a3213667729fcc015cceb76bbbb37473932993,True,True,True
87,1,authority+consensus+common_sense+polished_style+compassion,743,890,147,1.197847,83d6e601d68c7e2a7782bab8fbf5775649e66529253615f607df72e606c4de82,83d6e601d68c7e2a7782bab8fbf5775649e66529253615f607df72e606c4de82,True,True,True
87,2,authority+consensus+common_sense+polished_style+compassion,304,451,147,1.483553,c777a9bc99b1ba0a870a42886c2ca64e05b88b83bcaa0700088af1192fa67b0f,c777a9bc99b1ba0a870a42886c2ca64e05b88b83bcaa0700088af1192fa67b0f,True,True,True
88,1,authority+consensus+common_sense+polished_style+compassion,265,412,147,1.554717,bef053ce3b1212cc396a4cb26d0c5a80dfedbd3d3803cce32afcd6c6455a1862,bef053ce3b1212cc396a4cb26d0c5a80dfedbd3d3803cce32afcd6c6455a1862,True,True,True
88,2,authority+consensus+common_sense+polished_style+compassion,187,334,147,1.786096,6e3dde0e23e805a3f9a126391b6a7adab12ea19db71c133d61d0a625709ede8b,6e3dde0e23e805a3f9a126391b6a7adab12ea19db71c133d61d0a625709ede8b,True,True,True
89,1,authority+consensus+common_sense+polished_style+compassion,238,385,147,1.617647,13b52cf41c90ca673dc872bf85eb6fd7f2fc731523b1a9c66ba98a1acb8d7cda,13b52cf41c90ca673dc872bf85eb6fd7f2fc731523b1a9c66ba98a1acb8d7cda,True,True,True
89,2,authority+consensus+common_sense+polished_style+compassion,55,202,147,3.672727,5bbdda8702cc1196bd833130b3dcbe1b3252526ac12422a1a937b6c4e3646ab7,5bbdda8702cc1196bd833130b3dcbe1b3252526ac12422a1a937b6c4e3646ab7,True,True,True
90,1,authority+consensus+common_sense+polished_style+compassion,253,400,147,1.581028,e272804bc5ae2bf8f01e91fc91cace31d7ab6beed60005c90dae062f34686577,e272804bc5ae2bf8f01e91fc91cace31d7ab6beed60005c90dae062f34686577,True,True,True
90,2,authority+consensus+common_sense+polished_style+compassion,282,429,147,1.521277,88cd973f321040f8e7ac3ffaf326f875ed0b447710ce0445ae0deef371ab3d66,88cd973f321040f8e7ac3ffaf326f875ed0b447710ce0445ae0deef371ab3d66,True,True,True
91,1,authority+consensus+common_sense+polished_style+compassion,371,518,147,1.396226,638da1c19677f3cece0f818c2352b63731388d606123b05fadf765880ac453cb,638da1c19677f3cece0f818c2352b63731388d606123b05fadf765880ac453cb,True,True,True
91,2,authority+consensus+common_sense+polished_style+compassion,360,507,147,1.408333,3e71beb9a8689c4f4e767e25378eb63fd4d418e4d2ee124a76a6dca2580ee8af,3e71beb9a8689c4f4e767e25378eb63fd4d418e4d2ee124a76a6dca2580ee8af,True,True,True
92,1,authority+consensus+common_sense+polished_style+compassion,353,500,147,1.416431,0a6a5225eb603ed8f779518f5e1b9d5bc35404d4395a7d57e4d22e954a297180,0a6a5225eb603ed8f779518f5e1b9d5bc35404d4395a7d57e4d22e954a297180,True,True,True
92,2,authority+consensus+common_sense+polished_style+compassion,356,503,147,1.412921,6ddb7e28793d32d3c75701361a810d6515327dc45580901189280d2f370ce857,6ddb7e28793d32d3c75701361a810d6515327dc45580901189280d2f370ce857,True,True,True
93,1,authority+consensus+common_sense+polished_style+compassion,600,747,147,1.245000,c3fd036bbef2891fc5934d1c3d28f8fa4f444e099fc366d7f679df93cc9061f9,c3fd036bbef2891fc5934d1c3d28f8fa4f444e099fc366d7f679df93cc9061f9,True,True,True
93,2,authority+consensus+common_sense+polished_style+compassion,640,787,147,1.229688,d7a92abd8c8f83bd9d33001ca0aa8d72c7e6c9cc04b5c94694d70460e5a325ff,d7a92abd8c8f83bd9d33001ca0aa8d72c7e6c9cc04b5c94694d70460e5a325ff,True,True,True
94,1,authority+consensus+common_sense+polished_style+compassion,413,560,147,1.355932,e50bae08921b40da76c20928c3657130f4810b1aba333927076a2e43851ab36f,e50bae08921b40da76c20928c3657130f4810b1aba333927076a2e43851ab36f,True,True,True
94,2,authority+consensus+common_sense+polished_style+compassion,517,664,147,1.284333,886728351eb400c22b3a773885380094ecc2006c9c113d061057242176e92cf2,886728351eb400c22b3a773885380094ecc2006c9c113d061057242176e92cf2,True,True,True
95,1,authority+consensus+common_sense+polished_style+compassion,55,202,147,3.672727,aafba0acc4a5212b60abbb11dcd3ff730eb38b0a9ae4761299ca17ee0c15d231,aafba0acc4a5212b60abbb11dcd3ff730eb38b0a9ae4761299ca17ee0c15d231,True,True,True
95,2,authority+consensus+common_sense+polished_style+compassion,40,187,147,4.675000,d611a80d3a4930b740deae96e786b7704a992e288fc17e9390b9ac80623ac2e8,d611a80d3a4930b740deae96e786b7704a992e288fc17e9390b9ac80623ac2e8,True,True,True
96,1,authority+consensus+common_sense+polished_style+compassion,423,570,147,1.347518,2724ddf94ee846f5efaac71f179803cbe5b51ca866473037ea5e71431e29e312,2724ddf94ee846f5efaac71f179803cbe5b51ca866473037ea5e71431e29e312,True,True,True
96,2,authority+consensus+common_sense+polished_style+compassion,440,587,147,1.334091,106fef7939848c76c5b0dc9155014a12da556185494abcc0bb67d2e5fb7dd286,106fef7939848c76c5b0dc9155014a12da556185494abcc0bb67d2e5fb7dd286,True,True,True
97,1,authority+consensus+common_sense+polished_style+compassion,440,587,147,1.334091,2501f1edc752a7978f0361ef3d9a98006fce53994d4e0514f9428ebfa6e1c463,2501f1edc752a7978f0361ef3d9a98006fce53994d4e0514f9428ebfa6e1c463,True,True,True
97,2,authority+consensus+common_sense+polished_style+compassion,516,663,147,1.284884,222f0f0e42e8a57629ec5d9c9bc563b23b1e9b09dcf0ce9da0e4fc079e5dab71,222f0f0e42e8a57629ec5d9c9bc563b23b1e9b09dcf0ce9da0e4fc079e5dab71,True,True,True
98,1,authority+consensus+common_sense+polished_style+compassion,334,481,147,1.440120,e6b4dd845b0fbe38f807280c92942daf562c77fbe0033801056d70b715e3644b,e6b4dd845b0fbe38f807280c92942daf562c77fbe0033801056d70b715e3644b,True,True,True
98,2,authority+consensus+common_sense+polished_style+compassion,208,355,147,1.706731,b9158f83314969acb5c4b594c9c946aad1bff7de3f6d7e7c1844ea19928ec98a,b9158f83314969acb5c4b594c9c946aad1bff7de3f6d7e7c1844ea19928ec98a,True,True,True
