question_id,baseline_forward_winner,baseline_reverse_winner,baseline_consistent,baseline_merged_winner,baseline_forced_tie,reason_forward_winner,reason_reverse_winner,reason_consistent,reason_merged_winner,reason_forced_tie
81,strong,strong,True,strong,False,strong,strong,True,strong,False
82,strong,strong,True,strong,False,strong,strong,True,strong,False
83,strong,strong,True,strong,False,strong,strong,True,strong,False
84,strong,strong,True,strong,False,strong,strong,True,strong,False
85,strong,strong,True,strong,False,strong,strong,True,strong,False
86,strong,strong,True,strong,False,strong,strong,True,strong,False
87,strong,strong,True,strong,False,strong,strong,True,strong,False
88,strong,strong,True,strong,False,strong,strong,True,strong,False
89,strong,strong,True,strong,False,strong,strong,True,strong,False
90,strong,strong,True,strong,False,strong,strong,True,strong,False
91,strong,strong,True,strong,False,strong,strong,True,strong,False
92,strong,strong,True,strong,False,strong,strong,True,strong,False
93,strong,strong,True,strong,False,strong,strong,True,strong,False
94,strong,strong,True,strong,False,strong,strong,True,strong,False
95,strong,strong,True,strong,False,strong,strong,True,strong,False
96,strong,strong,True,strong,False,strong,strong,True,strong,False
97,strong,strong,True,strong,False,strong,strong,True,strong,False
98,strong,strong,True,strong,False,strong,strong,True,strong,False
99,strong,strong,True,strong,False,strong,strong,True,strong,False
100,strong,strong,True,strong,False,strong,strong,True,strong,False
101,strong,strong,True,strong,False,strong,strong,True,strong,False
102,strong,strong,True,strong,False,strong,strong,True,strong,False
103,strong,strong,True,strong,False,strong,strong,True,strong,False
104,strong,strong,True,strong,False,strong,strong,True,strong,False
105,strong,strong,True,strong,False,strong,strong,True,strong,False
106,strong,strong,True,strong,False,strong,strong,True,strong,False
107,strong,strong,True,strong,False,strong,strong,True,strong,False
108,strong,strong,True,strong,False,strong,strong,True,strong,False
109,strong,strong,True,strong,False,strong,strong,True,strong,False
110,strong,strong,True,strong,False,strong,strong,True,strong,False
111,strong,strong,True,strong,False,strong,strong,True,strong,False
112,strong,strong,True,strong,False,strong,strong,True,strong,False
113,strong,strong,True,strong,False,strong,strong,True,strong,False
114,strong,strong,True,strong,False,strong,strong,True,strong,False
115,strong,strong,True,strong,False,strong,strong,True,strong,False
116,strong,strong,True,strong,False,strong,strong,True,strong,False
117,strong,strong,True,strong,False,strong,strong,True,strong,False
118,strong,strong,True,strong,False,strong,strong,True,strong,False
119,strong,strong,True,strong,False,strong,strong,True,strong,False
120,strong,strong,True,strong,False,strong,strong,True,strong,False
121,strong,strong,True,strong,False,strong,strong,True,strong,False
122,strong,strong,True,strong,False,strong,strong,True,strong,False
123,strong,strong,True,strong,False,strong,strong,True,strong,False
124,strong,strong,True,strong,False,strong,strong,True,strong,False
125,strong,strong,True,strong,False,strong,strong,True,strong,False
126,strong,strong,True,strong,False,strong,strong,True,strong,False
127,strong,strong,True,strong,False,strong,strong,True,strong,False
128,strong,strong,True,strong,False,strong,strong,True,strong,False
129,strong,strong,True,strong,False,strong,strong,True,strong,False
130,strong,strong,True,strong,False,strong,strong,True,strong,False
131,strong,strong,True,strong,False,strong,strong,True,strong,False
132,strong,strong,True,strong,False,strong,strong,True,strong,False
133,strong,strong,True,strong,False,strong,strong,True,strong,False
134,strong,strong,True,strong,False,strong,strong,True,strong,False
135,strong,strong,True,strong,False,strong,strong,True,strong,False
136,strong,strong,True,strong,False,strong,strong,True,strong,False
138,strong,strong,True,strong,False,strong,strong,True,strong,False
139,strong,strong,True,strong,False,strong,strong,True,strong,False
140,strong,strong,True,strong,False,strong,strong,True,strong,False
141,strong,strong,True,strong,False,strong,strong,True,strong,False
142,strong,strong,True,strong,False,strong,strong,True,strong,False
143,strong,strong,True,strong,False,strong,strong,True,strong,False
144,strong,strong,True,strong,False,strong,strong,True,strong,False
145,strong,strong,True,strong,False,strong,strong,True,strong,False
146,strong,strong,True,strong,False,strong,strong,True,strong,False
147,strong,strong,True,strong,False,strong,strong,True,strong,False
148,strong,strong,True,strong,False,strong,strong,True,strong,False
149,strong,strong,True,strong,False,strong,strong,True,strong,False
150,strong,strong,True,strong,False,strong,strong,True,strong,False
151,strong,strong,True,strong,False,strong,strong,True,strong,False
152,strong,strong,True,strong,False,strong,strong,True,strong,False
153,strong,strong,True,strong,False,strong,strong,True,strong,False
154,strong,strong,True,strong,False,strong,strong,True,strong,False
155,strong,strong,True,strong,False,strong,strong,True,strong,False
156,strong,strong,True,strong,False,strong,strong,True,strong,False
157,strong,strong,True,strong,False,strong,strong,True,strong,False
158,strong,strong,True,strong,False,strong,strong,True,strong,False
159,strong,strong,True,strong,False,strong,strong,True,strong,False
160,strong,strong,True,strong,False,strong,strong,True,strong,False
